Factor,species,pendant.ID,mean_temp,max_temp
High,Bromus rubens,15573,28.66985928,31.6705
High,Bromus rubens,15566,30.75365339,33.5206
High,Bromus rubens,15574,31.98519574,34.1272
High,Layia platyglossa,15566,29.68450484,33.3795
High,Layia platyglossa,15573,26.03645136,28.4501
High,Layia platyglossa,15574,28.99218047,33.0537
High,Phacelia tanacetifolia,15566,33.47691739,34.8482
High,Phacelia tanacetifolia,15573,28.56699116,30.0683
High,Phacelia tanacetifolia,15574,31.41014692,32.5624
High,Salvia columbariae,15566,29.50817081,31.5316
High,Salvia columbariae,15573,30.33944041,32.039
High,Salvia columbariae,15574,27.54544843,29.8547
Low,Bromus rubens,15571,26.34609939,27.454
Low,Bromus rubens,15575,25.57948924,27.0775
Low,Bromus rubens,15598,23.6620635,24.8238
Low,Layia platyglossa,15571,24.20203222,26.3005
Low,Layia platyglossa,15575,23.53640651,25.3258
Low,Layia platyglossa,15598,23.16205277,25.2617
Low,Phacelia tanacetifolia,15571,25.91683005,27.5128
Low,Phacelia tanacetifolia,15575,24.79487418,26.0575
Low,Phacelia tanacetifolia,15598,24.19076348,25.2617
Low,Salvia columbariae,15571,24.96791965,26.7117
Low,Salvia columbariae,15575,25.0123954,26.725
Low,Salvia columbariae,15598,23.71154023,25.1068
Medium,Bromus rubens,15583,26.23760989,29.139
Medium,Bromus rubens,15585,25.84534436,27.7558
Medium,Bromus rubens,15593,26.46020093,27.7611
Medium,Layia platyglossa,15583,23.46374777,25.3952
Medium,Layia platyglossa,15585,21.83927519,23.4619
Medium,Layia platyglossa,15593,24.66327817,26.3779
Medium,Phacelia tanacetifolia,15583,26.65841927,27.8412
Medium,Phacelia tanacetifolia,15585,26.1268815,27.1363
Medium,Phacelia tanacetifolia,15593,26.14329196,27.4193
Medium,Salvia columbariae,15583,24.65839333,26.2016
Medium,Salvia columbariae,15585,23.82450518,26.207
Medium,Salvia columbariae,15593,25.94974046,27.2644